USERNAME,FINAL SCORE
Osaa7coded,"120,995"
Boluwatife (boluwatife_4523),"110,645"
Joe Chen (Joe-Chen),"97,349"
Ucadriotad,"77,866"
Ukkasha Farqaleet (ukkaxah),"68,389"
Ajayi Daniel (DanielAyomide),"63,036"
Gagas Prasetyo (gagaspras14),"61,338"
Jorge Maldonado Ventura (jorgesumle),"59,269"
Fuji Ar (fuji.anggara10),"58,979"
Stefan Marinkov (StefanMarinkov),"56,918"
bajoma burton (Magolla),"56,379"
Sunday Abisoye (Abisoye01),"54,398"
Lê Hưng (theminhhung),"53,363"
George Kitsoukakis (mr_giorgos),"49,890"
Arthur Chibuike (Arthur_Owl),"47,000"
Nguyễn Đức Trọng (0xTrong90),"44,755"
Tristan-He,"43,701"
Jokowdd,"40,080"
Edike isreal (JoeyGodramsey),"39,012"
DOladoyin,"39,009"
roifnaufal21,"37,263"
Sarah jones (Sarah004),"37,096"
Carla (Carla78),"36,739"
Daniel Onyedikachukwu (Cashman001),"36,422"
Cesssa_Will,"35,544"
Soyemi David Olasubomi (Dking2244),"34,203"
cryptocoinpurse.eth (cryptoraketeros),"32,484"
Satglow,"31,682"
MXNTRADER1,"27,323"
wosek_,"25,595"
Nelson Ayo (Nolongerbehemoth),"24,236"
emmanuelogheneovo,"23,914"
0xCm (comme.le.gnu),"23,178"
Đặng Hoàng Lâm (lamdanghoang),"22,929"
Shoque.eth (shoque_eth),"22,131"
Akins16,"18,451"
Pio268000,"18,407"
Bulela Gomoshe (bulela),"18,314"
Henderson Mateus (henderson.mateus1),"17,764"
Snazzy1000000,"17,745"
Habibu Ridwan (Yahabibullah1),"16,590"
scarlet188888,"15,887"
Rahayu Rafikahwulan Sari (RahayuRafika_12),"15,542"
Renan D (ReDzin),"15,516"
0xknife,"14,783"
michael chinemelu (michaelchinemelu24),"14,470"
Moses Kayode (Dgwen),"14,248"
Michelle Mtoni (michellewambaya),"14,100"
XRion (Xrion),"13,112"
Saidu Sokoto (bibo7086),"12,821"
Amina Sulaiman (Ummey_ib),"12,371"
Ceci (hyperalchemy),"12,017"
Amarachukwu_Precious,"11,833"
Saanu Funmi (saanufunmi04),"11,629"
Kehinde Olusanya (kolusanya4),"11,590"
Tijani Oyindamola (Damola37),"11,495"
Tukur Kwairanga (Kwairanga360),"11,313"
Anuoluwapo Shorinola (0xTianah),"11,075"
Kabir Adam (Ak.adamms),"10,781"
Emmanuel Ifediora (kenez),"10,153"
Jordi (breathejmp),"10,109"
Jeremiah Bulus (d_wordifyer),"9,559"
sophiesworld.,"8,967"
Effect Chen (EffectChen),"8,463"
ZZip | zharjac.eth (zharjac),"8,438"
nathaniel nanle (nathanielnanle),"8,247"
SamJay,"8,159"
itsxdamdam,"8,036"
Olusanya Emmanuel (olusanyatee13),"8,032"
Adebodun Mayokun (mayor_),"8,025"
Blessing Samuel (dicethedev),"7,811"
ahmad abuzaid (0xOZ),"7,712"
Bogdan Dovbysh (dovbyshbgd),"7,601"
Hiroyuki Naito (HiroyukiNaito),"7,574"
Sunny Cheng (hmsc),"7,446"
Paul Eze (peze5724),"7,375"
Nazir Muhammad Ladan (Nazir01),"7,225"
Bhatti Studio (neemibhatti),"7,195"
Marafrika,"7,073"
Huu Pham (giahuu5b),"7,036"
Val111,"6,847"
Felix Elenwo (IAmLickz),"6,712"
Valarie ademba (valarieademba84),"6,708"
Oluwatobiloba Olusanya (oluwatobilobaolusanya),"6,521"
ItsRibery,"6,321"
schole.eth (de_garden),"6,198"
Kwaku Amoakohene (KwakuAAnalyst),"6,081"
odytr,"5,876"
mearaf tadewos (mearaf),"5,774"
Ademuyiwa Michael (MichaelKinggggg),"5,719"
Karim Nyumba (karimnyumba),"5,666"
DREY (Dreythegreat),"5,643"
Joseph Raji (noos3),"5,553"
Hưng Đoàn (hungdoanqdn),"5,369"
Aisha_sulaiman,"5,299"
Sagitario,"5,264"
Lowboy123,"4,964"
Asseke Hypolithe (Hypolithe),"4,865"
Pedro (pedrovilela),"4,798"
Fefe Sho (fefesho),"4,704"
Ye Huang (ARarsenic),"4,696"
Gift Nkara (tulipunity),"4,599"
Ishaq Abubakar (Algebra-jr),"4,579"
Anastasia Dostanko (AnastasiaDostanko),"4,574"
Dosa Alexander (alexanderdosa),"4,535"
Ziko Isaac (zicotee),"4,485"
Barosky_Dev,"4,138"
Mercy Aremu Modupe (Tweb3girl),"4,137"
Farouk Adam (NamedFarouk),"4,077"
Julien (Gregster31),"4,021"
BaelFire,"3,908"
Emanuel Leonard (emanuelleonard),"3,886"
Chí Anh Hạ (ItsChiAnh),"3,848"
Bala Jessey (balajessey1943),"3,770"
Wilkins Morales (w1lkns),"3,757"
Kinako Mochihara (kinakomochihara),"3,562"
Anastasia Lumina (lumina.envisions),"3,505"
omsify,"3,503"
Headwitch (headwitch),"3,464"
TOJIA (QueenTojia),"3,368"
Batlord77,"3,276"
ODEWALE Timileyin Eunice (Temmytee),"3,233"
Igordost,"3,183"
Agbo Joseph (nvestorajje),"3,154"
favour onyebuchi (favourbuchi),"3,171"
Ayinde,"2,856"
Moses Joshua (Jaux),"2,843"
George Vincent (georgevin2000),"2,793"
robertdo216,"2,711"
Zeke Toriola (zeketoriola),"2,653"
Son Nguyen (TSonn18),"2,574"
Jonas Neubert (Coram_Deo),"2,527"
Ishq_ibra,"2,396"
Haruna Idris (harunaidrisguru),"2,373"
ninja (ninja2114),"2,312"
Bernieforyou,"2,286"
Stormzy01,"2,275"
Hammad Hussain (hammad_8881),"2,108"
AgataTekla,"2,092"
Arinze Ezenwa (Dattebayo8523),"2,087"
omahs,"2,067"
darasimi221,"2,060"
Andre Owano (jakakelo),"2,004"
Flerygold,"1,974"
dadabosade,"1,961"
jay_baby7,"1,927"
Manojkumar T (manojmanoj2222001),"1,819"
Youcee,"1,801"
emmanuel agbaje (dypumping),"1,792"
4tunate_123,"1,780"
Lion Prado (lionprado38),"1,720"
DaisyVerse,"1,688"
oreoluwa David (david2k20),"1,686"
bayraqi,"1,675"
Daveofspaceship,"1,665"
Yungeasy,"1,644"
Ajax_felixx,"1,642"
Franklyn Ude (udefranklynchukwuka1),"1,641"
B4LIFE 🥷⌘ (B4LIFE34),"1,595"
Olukorede,"1,579"
Myworldx,"1,568"
Adeliz,"1,564"
natal78,"1,561"
Thel_ma,"1,534"
Olabimpesolanke_20,"1,530"
Fawaz Damilare (Dhami007),"1,489"
Praise Adekoya (adekoyapraise89),"1,471"
UsmanT,"1,455"
FooEze,"1,440"
Ademuyiwa Elijah (ademuyiwaelijah),"1,404"
Sophie247,"1,377"
Narek 9523 (narek9523),"1,374"
semicof,"1,373"
Kempmaple,"1,360"
Joshjosh999,"1,357"
Godwin Oluwaseun (Mkdartistry),"1,348"
Patiencist,"1,348"
Eli.ej,"1,343"
Đạt Nguyễn Minh (dfrvci),"1,336"
Lakeside0147,"1,321"
Betty Afolabi (devduchess),"1,318"
sultan sekoni (BabafemiBraut),"1,313"
isinasli,"1,299"
Sokolayam Adam (Halily),"1,296"
Elizabeth Ololade (Lolly08.),"1,271"
Fk_welding,"1,266"
Akinotunla Ayomide (akinotunlaayomide005),"1,238"
Kassie,"1,224"
AJC,"1,222"
Palatable500,"1,220"
Ollllllllllllllie,"1,215"
Gogox,"1,213"
Chimezie (Bigflery),"1,183"
Adewuyi Oluwafunmilayo (joyful_semi_09),"1,168"
Minh Huong (HuongTran),"1,167"
isabella de brito (britodeisabella),"1,164"
Creativity Enthusiast (CreativityEnthusiast),"1,156"
Katexoxo,"1,156"
Oluwatobiloba AWORINDE (o.aworinde.fna2023062),"1,153"
ZxStim (zxstim),"1,151"
Ebenezar Tosin (tosben01),"1,122"
pojilina,"1,121"
Samskid,"1,115"
Hashpack Doctor (hashpackdoctor),"1,109"
Nobleatim,"1,102"
Memex,"1,098"
Just_living,"1,095"
Akhighu Marvelous (marvelousakhighu),"1,093"
brano0197,"1,090"
Cryptochad,"1,071"
CAD852,"1,064"
Eko Yanuarso Budi (ekoyanu99),"1,059"
Won (linguist_won),"1,034"
Jhammed,"1,032"
Phenomenalme,"1,027"
Elen_defi,"1,022"
Temilayo,"1,018"